286662 (u'NS2.UNIREGISTRYMARKET.LINK', u'NS1.UNIREGISTRYMARKET.LINK')
234587 (u'NS73.DOMAINCONTROL',)
234578 (u'NS74.DOMAINCONTROL',)
216391 (u'NS72.DOMAINCONTROL',)
216391 (u'NS71.DOMAINCONTROL',)
214354 (u'NS32.DOMAINCONTROL',)
214333 (u'NS31.DOMAINCONTROL',)
211595 (u'NS22.DOMAINCONTROL',)
211592 (u'NS21.DOMAINCONTROL',)
205133 (u'NS43.DOMAINCONTROL',)
205083 (u'NS44.DOMAINCONTROL',)
200457 (u'NS69.DOMAINCONTROL',)
200455 (u'NS70.DOMAINCONTROL',)
178384 (u'NS49.DOMAINCONTROL',)
178384 (u'NS50.DOMAINCONTROL',)
172413 (u'NS03.DOMAINCONTROL',)
172402 (u'NS04.DOMAINCONTROL',)
169462 (u'NS07.DOMAINCONTROL',)
169460 (u'NS08.DOMAINCONTROL',)
154302 (u'NS29.DOMAINCONTROL',)
154252 (u'NS30.DOMAINCONTROL',)
145779 (u'NS17.DOMAINCONTROL',)
145775 (u'NS18.DOMAINCONTROL',)
136457 (u'NS15.DOMAINCONTROL',)
136443 (u'NS16.DOMAINCONTROL',)
131342 (u'NS20.DOMAINCONTROL',)
131339 (u'NS19.DOMAINCONTROL',)
128783 (u'NS67.DOMAINCONTROL',)
128779 (u'NS68.DOMAINCONTROL',)
120360 (u'NS33.DOMAINCONTROL',)
120349 (u'NS34.DOMAINCONTROL',)
87774 (u'NS39.DOMAINCONTROL',)
87769 (u'NS40.DOMAINCONTROL',)
84882 (u'NS1.PARKINGCREW.NET',)
64794 (u'NS37.DOMAINCONTROL',)
64791 (u'NS38.DOMAINCONTROL',)
60452 (u'NS1.EXPIEREDDNSMANAGER', u'NS2.EXPIEREDDNSMANAGER')
56244 (u'F1G1NS1.DNSPOD.NET',)
56199 (u'F1G1NS2.DNSPOD.NET',)
54654 (u'DNS5.REGISTRAR-SERVERS',)
54650 (u'DNS4.REGISTRAR-SERVERS',)
54631 (u'DNS3.REGISTRAR-SERVERS',)
39070 (u'NS11.DOMAININGDEPOT', u'NS12.DOMAININGDEPOT')
38721 (u'NS47.DOMAINCONTROL',)
